miliseconds,steering,throttle
1697213145.731764,-0.55,0.3
1697213145.7379453,-0.55,0.3
1697213145.7449958,-0.55,0.3
1697213145.751471,-0.55,0.3
1697213145.7576108,-0.55,0.3
1697213145.7637026,-0.55,0.3
1697213145.7695062,-0.55,0.3
1697213145.7764716,-0.55,0.3
1697213145.7825804,-0.55,0.3
1697213145.7888408,-0.55,0.3
1697213145.7946851,-0.55,0.3
1697213145.800428,-0.55,0.3
1697213145.8066573,-0.55,0.3
1697213145.8136113,-0.55,0.3
1697213145.8199553,-0.55,0.3
1697213145.8258064,-0.55,0.3
1697213145.8314693,-0.55,0.3
1697213145.8376825,-0.55,0.3
1697213145.8451498,-0.55,0.3
1697213145.851564,-0.55,0.3
1697213145.857615,-0.55,0.3
1697213145.8636932,-0.55,0.3
1697213145.8694873,-0.55,0.3
1697213145.8759387,-0.55,0.3
1697213145.8832383,-0.55,0.3
1697213145.8898268,-0.55,0.3
1697213145.8955982,-0.55,0.3
1697213145.901402,-0.55,0.3
1697213145.9085696,-0.55,0.3
1697213145.9152212,-0.55,0.3
1697213145.9214869,-0.55,0.3
1697213145.9272692,-0.55,0.3
1697213145.932885,-0.55,0.3
1697213145.9392512,-0.55,0.3
1697213145.9462204,-0.55,0.3
1697213145.9524486,-0.55,0.3
1697213145.9584394,-0.55,0.3
1697213145.964066,-0.55,0.3
1697213145.9699664,-0.55,0.3
1697213145.97698,-0.55,0.3
1697213145.9832973,-0.55,0.3
1697213145.9895117,-0.55,0.3
1697213145.9953353,-0.55,0.3
1697213146.000995,-0.55,0.3
1697213146.0076444,-0.55,0.3
1697213146.0152733,-0.55,0.3
1697213146.0215158,-0.55,0.3
1697213146.027281,-0.55,0.3
1697213146.0328608,-0.55,0.3
1697213146.0391304,-0.55,0.3
1697213146.0466413,-0.55,0.3
1697213146.0531018,-0.55,0.3
1697213146.0592668,-0.55,0.3
1697213146.0649238,-0.55,0.3
1697213146.0710278,-0.55,0.3
1697213146.0811133,-0.55,0.3
1697213146.0875745,-0.55,0.3
1697213146.0934987,-0.55,0.3
1697213146.099166,-0.55,0.3
1697213146.1051283,-0.55,0.3
1697213146.1119983,-0.55,0.3
1697213146.1182115,-0.55,0.3
1697213146.1241605,-0.55,0.3
1697213146.1302977,-0.55,0.3
1697213146.136091,-0.55,0.3
1697213146.1434402,-0.55,0.3
1697213146.1496093,-0.55,0.3
1697213146.1559987,-0.55,0.3
1697213146.161936,-0.55,0.3
1697213146.1677656,-0.55,0.3
1697213146.174617,-0.55,0.3
1697213146.1819532,-0.55,0.3
1697213146.1878934,-0.55,0.3
1697213146.1937535,-0.55,0.3
1697213146.1994584,-0.55,0.3
1697213146.205819,-0.55,0.3
1697213146.2133906,-0.55,0.3
1697213146.21967,-0.55,0.3
1697213146.225748,-0.55,0.3
1697213146.2312927,-0.55,0.3
1697213146.2372613,-0.55,0.3
1697213146.2448747,-0.55,0.3
1697213146.251154,-0.55,0.3
1697213146.2574286,-0.55,0.3
1697213146.2635975,-0.55,0.3
1697213146.2693908,-0.55,0.3
1697213146.2765522,-0.55,0.3
1697213146.2827392,-0.55,0.3
1697213146.2891216,-0.55,0.3
1697213146.2950933,-0.55,0.3
1697213146.30076,-0.55,0.3
1697213146.3074248,-0.55,0.3
1697213146.3147087,-0.55,0.3
1697213146.320882,-0.55,0.3
1697213146.3266323,-0.55,0.3
1697213146.3322716,-0.55,0.3
1697213146.338498,-0.55,0.3
1697213146.34594,-0.55,0.3
1697213146.3523426,-0.55,0.3
1697213146.3586206,-0.55,0.3
1697213146.3641927,-0.55,0.3
1697213146.3698921,-0.55,0.3
1697213146.3766513,-0.55,0.3
1697213146.3835366,-0.55,0.3
1697213146.3898733,-0.55,0.3
1697213146.3959165,-0.55,0.3
1697213146.401796,-0.55,0.3
1697213146.4086215,-0.55,0.3
1697213146.4150684,-0.55,0.3
1697213146.4210546,-0.55,0.3
1697213146.426805,-0.55,0.3
1697213146.4323785,-0.55,0.3
1697213146.4384115,-0.55,0.3
1697213146.445033,-0.55,0.3
1697213146.4513326,-0.55,0.3
1697213146.4573593,-0.55,0.3
1697213146.463436,-0.55,0.3
1697213146.4692364,-0.55,0.3
1697213146.4763434,-0.55,0.3
1697213146.4826705,-0.55,0.3
1697213146.4889166,-0.55,0.3
1697213146.4949303,-0.55,0.3
1697213146.5006316,-0.55,0.3
1697213146.507297,-0.55,0.3
1697213146.5146534,-0.55,0.3
1697213146.5209124,-0.55,0.3
1697213146.5266497,-0.55,0.3
1697213146.532376,-0.55,0.3
1697213146.5382977,-0.55,0.3
1697213146.5458796,-0.55,0.3
1697213146.5525784,-0.55,0.3
1697213146.5586755,-0.55,0.3
1697213146.5643806,-0.55,0.3
1697213146.570248,-0.55,0.3
1697213146.577813,-0.55,0.3
1697213146.5843184,-0.55,0.3
1697213146.5904567,-0.55,0.3
1697213146.5975401,-0.55,0.3
1697213146.6033723,-0.55,0.3
1697213146.6112716,-0.55,0.3
1697213146.617701,-0.55,0.3
1697213146.623803,-0.55,0.3
1697213146.6298494,-0.55,0.3
1697213146.6357467,-0.55,0.3
1697213146.6432045,-0.55,0.3
1697213146.6494308,-0.55,0.3
1697213146.6556594,-0.55,0.3
1697213146.6614757,-0.55,0.3
1697213146.667197,-0.55,0.3
1697213146.6735222,-0.55,0.3
1697213146.681248,-0.55,0.3
1697213146.6932032,-0.55,0.3
1697213146.7072666,-0.55,0.3
1697213146.7148354,-0.55,0.3
1697213146.7215188,-0.55,0.3
1697213146.7314394,-0.55,0.3
1697213146.7382796,-0.55,0.3
1697213146.7457497,-0.55,0.3
1697213146.7525227,-0.55,0.3
1697213146.7596576,-0.55,0.3
1697213146.7666333,-0.55,0.3
1697213146.7761984,-0.55,0.3
1697213146.7825477,-0.55,0.3
1697213146.7896068,-0.55,0.3
1697213146.7979267,-0.55,0.3
1697213146.8045375,-0.55,0.3
1697213146.8134665,-0.55,0.3
1697213146.8199947,-0.55,0.3
1697213146.826275,-0.55,0.3
1697213146.831919,-0.55,0.3
1697213146.8385773,-0.55,0.3
1697213146.8455367,-0.55,0.3
1697213146.8518739,-0.55,0.3
1697213146.8579774,-0.55,0.3
1697213146.8636203,-0.55,0.3
1697213146.8695838,-0.55,0.3
1697213146.8768058,-0.55,0.3
1697213146.8836887,-0.55,0.3
1697213146.8902676,-0.55,0.3
1697213146.8965027,-0.55,0.3
1697213146.9023597,-0.55,0.3
1697213146.908728,-0.55,0.3
1697213146.9159234,-0.55,0.3
1697213146.9224286,-0.55,0.3
1697213146.9287148,-0.55,0.3
1697213146.9346728,-0.55,0.3
1697213146.9418347,-0.55,0.3
1697213146.9481895,-0.55,0.3
1697213146.9549077,-0.55,0.3
1697213146.960808,-0.55,0.3
1697213146.9666734,-0.55,0.3
1697213146.9731936,-0.55,0.3
1697213146.9811118,-0.55,0.3
1697213146.987269,-0.55,0.3
1697213146.9935577,-0.55,0.3
1697213147.0047867,-0.55,0.3
1697213147.0120711,-0.55,0.3
1697213147.024889,-0.55,0.3
1697213147.0319364,-0.55,0.3
1697213147.040582,-0.55,0.3
1697213147.0529664,-0.55,0.3
1697213147.0599563,-0.55,0.3
1697213147.0755904,-0.55,0.3
1697213147.0910702,-0.55,0.3
1697213147.1070006,-0.55,0.3
1697213147.125341,-0.55,0.3
1697213147.1393058,-0.55,0.3
1697213147.145638,-0.55,0.3
1697213147.151578,-0.55,0.3
1697213147.157828,-0.55,0.3
1697213147.1638305,-0.55,0.3
1697213147.169508,-0.55,0.3
1697213147.1759956,-0.55,0.3
1697213147.182039,-0.55,0.3
1697213147.1881397,-0.55,0.3
1697213147.1943097,-0.55,0.3
1697213147.1999865,-0.55,0.3
1697213147.2057507,-0.55,0.3
1697213147.2120311,-0.55,0.3
1697213147.2180896,-0.55,0.3
1697213147.22446,-0.55,0.3
1697213147.2305474,-0.55,0.3
1697213147.2367687,-0.55,0.3
1697213147.2434616,-0.55,0.3
1697213147.2495272,-0.55,0.3
1697213147.255727,-0.55,0.3
